"","height","size","mean","sd","variation","fraction"
"1",120,20,-2457845.95124556,2130910.60001115,-0.866982977078475,-16607.0672381457
"2",120,40,-2509039.09916712,1809538.6265223,-0.721207822996054,-16952.9668862643
"3",120,60,-2473959.5088607,1704852.29843943,-0.689118917400771,-16715.9426274372
"4",120,80,-2479712.14051717,1994089.44015345,-0.804161663594372,-16754.8117602511
"5",120,100,-2502831.69780555,1987296.22239179,-0.794019120076763,-16911.0249851726
"6",120,120,-2652653.11910178,1993965.43220332,-0.751687213772791,-17923.3318858228
"7",120,140,-2631561.67742677,1991706.12066051,-0.756853292759633,-17780.8221447755
"8",120,160,-2599070.89020872,1981715.06922377,-0.762470572345422,-17561.2897987076
"9",120,180,-2576274.58632281,2032440.48692406,-0.788906779469119,-17407.2607183974
"10",120,200,-2600286.79259032,2041008.29928597,-0.784916611929863,-17569.50535534
"11",120,250,-2654490.96972179,2020054.05209606,-0.760994885700356,-17935.7497954175
"12",120,300,-2643685.98653954,1960675.13602923,-0.74164448652832,-17862.7431522942
"13",120,350,-2654621.92005927,1985404.1540637,-0.747904678651703,-17936.6345949951
"14",120,400,-2627359.3984437,1964638.49920515,-0.74776161204626,-17752.4283678628
"15",120,450,-2629439.93638688,1985548.15165143,-0.755122079106995,-17766.4860566681
"16",120,500,-2651376.30783048,1989579.58172853,-0.750395021579009,-17914.7047826384
"17",120,550,-2655166.12336876,2032168.57062317,-0.765364002175821,-17940.3116443835
"18",120,600,-2671722.30260784,2005563.26639523,-0.750663070199183,-18052.1777203233
"19",120,650,-2704258.71042299,2014428.19890066,-0.744909572126542,-18272.0183136689
"20",120,700,-2685807.00941077,1981895.32270436,-0.737914271487122,-18147.3446581809
"21",120,750,-2660962.92291086,1977094.60817003,-0.742999682989671,-17979.4792088571
"22",120,800,-2675026.67308848,1984459.07004028,-0.741846460823924,-18074.5045478951
"23",120,850,-2666939.06966296,1983884.18404813,-0.743880580780892,-18019.8585788038
"24",120,900,-2674903.93441953,1980263.0591704,-0.740311842114856,-18073.6752325644
"25",120,950,-2683186.43076144,1986851.78837909,-0.74048219892617,-18129.6380456854
"26",120,1000,-2685671.97593349,1991036.68481105,-0.741355125515285,-18146.4322698209
"27",115,20,-4566636.37339685,4784103.88272213,-1.04762093837647,-2260.71107593903
"28",115,40,-3868596.78004833,5821658.16605907,-1.50485007796195,-1915.146920816
"29",115,60,-3750876.51286947,5424834.35839462,-1.44628444572401,-1856.86956082647
"30",115,80,-3507353.83225735,5236175.37737042,-1.49291335513771,-1736.31377834522
"31",115,100,-3531606.6924274,4957931.97311124,-1.40387432828866,-1748.32014476604
"32",115,120,-3717033.20111307,4857480.85650516,-1.30681664480441,-1840.11544609558
"33",115,140,-3423223.18699882,4960606.74936128,-1.44910409820819,-1694.66494405882
"34",115,160,-3611480.650186,4797748.4163544,-1.328471306113,-1787.86170801287
"35",115,180,-3689636.89820897,4722026.04963426,-1.27980779136463,-1826.55291990543
"36",115,200,-3765191.5801237,4642689.8831696,-1.23305541945812,-1863.95622778401
"37",115,250,-3591889.77827221,4605156.93816165,-1.28209862285274,-1778.1632565704
"38",115,300,-3593282.75683592,4553479.53633963,-1.26721993354879,-1778.85284991877
"39",115,350,-3603543.41460901,4585389.94944198,-1.27246696428091,-1783.93238346981
"40",115,400,-3696187.16954095,4518225.33344735,-1.22240166046799,-1829.79562848562
"41",115,450,-3822683.15565672,4437973.84129717,-1.16095780387395,-1892.41740379046
"42",115,500,-3830424.53166179,4384367.31690086,-1.14461655115778,-1896.2497681494
"43",115,550,-3867985.86522325,4458494.81297923,-1.15266574603211,-1914.84448773428
"44",115,600,-3824466.57276486,4449673.1565527,-1.16347549962657,-1893.30028354696
"45",115,650,-3766787.37170037,4436891.07415633,-1.17789793697685,-1864.74622361405
"46",115,700,-3832935.44386177,4408658.26659704,-1.15020415323124,-1897.49279399098
"47",115,750,-3854528.34302424,4381093.01455732,-1.13660936557544,-1908.1823480318
"48",115,800,-3846792.83307964,4351087.50663293,-1.13109483547352,-1904.35288766319
"49",115,850,-3875896.41650604,4325104.21710743,-1.11589778268799,-1918.76060223072
"50",115,900,-3911287.33560028,4341167.79023644,-1.10990766408886,-1936.28085920806
"51",115,950,-3864542.31990905,4353662.95577228,-1.12656625167317,-1913.13976233121
"52",115,1000,-3900365.2795195,4342102.14335671,-1.1132552548749,-1930.87390075223
"53",110,20,-3204004.21060782,8033298.55578101,-2.50726841406274,-92.6012777632319
"54",110,40,-2226998.03111759,7648745.48003739,-3.43455421745431,-64.3641049455952
"55",110,60,-2530718.43999582,6926146.35979829,-2.73683008363811,-73.142151444966
"56",110,80,-2805591.06591746,7166148.59792457,-2.55423845797754,-81.0864469918341
"57",110,100,-3057546.53222094,7028688.51598682,-2.29880017913621,-88.3683968849984
"58",110,120,-3204177.67720653,6963233.73440541,-2.1731734116805,-92.6062912487437
"59",110,140,-3497745.57196584,6713211.31701831,-1.91929663804714,-101.090912484562
"60",110,160,-3309483.09919615,6733703.05313529,-2.03466911638583,-95.6498005548021
"61",110,180,-3650315.15597726,6731649.88902021,-1.84412841121331,-105.500438034025
"62",110,200,-3673615.76314021,6644587.82985243,-1.80873239289801,-106.173865986711
"63",110,250,-3615363.29018874,6801805.24081474,-1.88136148288977,-104.490268502565
"64",110,300,-3540141.49989294,6815972.60448729,-1.92533903085326,-102.316228320605
"65",110,350,-3626978.83351767,6935948.62280603,-1.91232122964421,-104.825977847331
"66",110,400,-3714723.39283595,6825398.49272968,-1.83739077474593,-107.361947769825
"67",110,450,-3945126.71673333,6885001.90519897,-1.74519157420118,-114.021003373796
