"","height","size","mean","sd","variation","fraction"
"1",120,20,117735302889.312,1576880123.23884,0.0133934349726975,0.997756804146714
"2",120,40,118195259407.425,1655748807.87561,0.0140085889753679,1.00165474074089
"3",120,60,117896775784.792,1664160449.65273,0.0141154025508761,0.999125218515189
"4",120,80,117865809082.825,1730155648.77354,0.0146790291623736,0.998862788837499
"5",120,100,117824684812.433,1669590943.74162,0.0141701286653087,0.998514278071468
"6",120,120,117794186005.281,1779725200.93153,0.0151087694672107,0.99825581360408
"7",120,140,117736591291.046,1771715183.22846,0.0150481270419045,0.997767722805478
"8",120,160,117761517831.389,1757111893.52533,0.0149209344944175,0.997978964672788
"9",120,180,117723208923.601,1825329289.37158,0.0155052627775053,0.997654312911869
"10",120,200,117700539351.148,1825141881.32414,0.0155066569056155,0.997462197891081
"11",120,250,117774566602.651,1813736141.43137,0.0154000663619555,0.998089547480095
"12",120,300,117853415227.443,1875001694.15762,0.0159096084787962,0.998757756164775
"13",120,350,117903661082.729,1912735077.95491,0.0162228641620621,0.9991835684977
"14",120,400,117914469964.395,1941406729.36397,0.0164645334024755,0.999275169189784
"15",120,450,117889710329.949,1937597429.44711,0.0164356789411406,0.999065341779229
"16",120,500,117920239197.671,1942898417.69148,0.0164763778543104,0.999324060997209
"17",120,550,117897386750.316,1937205595.7634,0.0164312852825655,0.999130396189118
"18",120,600,117902308160.075,1913374843.86105,0.0162284765558896,0.999172103051486
"19",120,650,117895909130.675,1904284075.17695,0.0161522489560368,0.999117873988768
"20",120,700,117906964842.553,1893295765.32656,0.0160575396699827,0.999211566462317
"21",120,750,117888248050.446,1898046574.38592,0.0161003883404368,0.999052949580049
"22",120,800,117904267950.379,1887815193.00244,0.0160114237238378,0.999188711443893
"23",120,850,117884931458.862,1895702653.0483,0.0160809581817489,0.999024842871713
"24",120,900,117880338980.715,1903242581.1413,0.0161455472354272,0.998985923565381
"25",120,950,117885751353.175,1896673985.79071,0.0160890859499079,0.999031791128604
"26",120,1000,117859149541.592,1917930736.01638,0.0162730746274353,0.998806352047392
"27",115,20,184131540146.105,3124528068.17456,0.0169689998014208,0.99530562241138
"28",115,40,184936164633.412,2768274255.14861,0.014968809700558,0.999654943964389
"29",115,60,184813275131.513,2711926987.50982,0.0146738754863795,0.998990676386558
"30",115,80,184606768544.006,2865270255.95425,0.0155209382546081,0.997874424562197
"31",115,100,184543519542.914,2794804064.35683,0.0151444172695911,0.997532538069803
"32",115,120,184566109818.303,2746672717.14745,0.0148817825756387,0.997654647666504
"33",115,140,184552970329.089,2696612765.90483,0.0146115923308972,0.997583623400483
"34",115,160,184621040594.092,2673183300.65674,0.0144792992827617,0.997951570778875
"35",115,180,184691421008.899,2705067404.17664,0.0146464161107207,0.998332005453508
"36",115,200,184633450749.43,2754800072.79842,0.0149203736463606,0.998018652699621
"37",115,250,184516290264.525,2781899560.97537,0.0150767152156983,0.997385352781216
"38",115,300,184456148319.209,2741294145.28093,0.0148614951047173,0.997060261184914
"39",115,350,184494530456.932,2885821770.59676,0.0156417741135715,0.997267732199632
"40",115,400,184483256491.462,2885879056.93602,0.0156430405220518,0.997206791845742
"41",115,450,184455562605.997,2923550280.85795,0.0158496184097345,0.997057095167554
"42",115,500,184451027202.034,2891932557.27245,0.0156785928554621,0.997032579470453
"43",115,550,184407606062.876,2894600544.27547,0.0156967524608964,0.996797870610139
"44",115,600,184399883842.666,2871270184.93144,0.0155708893362496,0.996756128879278
"45",115,650,184400020926.081,2862795180.17715,0.0155249178703984,0.996756869870709
