"A(b1)";"K(b1;O2)";"K(b1;N2)";"K(b1;O)";"A(1D)";"K(1D;N2)";"K(1D;O2)";"F(alpha)";"F(D)";"K(1D;O3)";"K(1D;O)";"F(b1)";Rest
"7.87e-02";"4.20e-12";"5.00e-13";"4.50e-12";"9.00e-03";"2.00e-11";"3.20e-11";"4.40e-01";"9.00e-01";"2.40e-10";"2.50e-11";"9.20e-01"
NA;"0.10";"0.50";"0.25";NA;"0.08";"0.08";NA;NA;NA;0.2;0.08;0
